detection_id,sequence_id,class,order,family,genus,species,common_name,age,sex,group_number
cd00024,7447519,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00025,7447520,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00026,7447530,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00027,7447539,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00028,7447548,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00029,7447547,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00030,7447596,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00031,7447597,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00032,7447605,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00033,7447606,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00034,7447615,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00035,7447624,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00036,7447630,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00037,7447649,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00038,7447655,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00039,7447662,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00040,7447675,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00041,7447692,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00042,7447698,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00043,7447713,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00044,7447718,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00045,7447734,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00046,7447745,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00047,7447757,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00048,7447758,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00049,7447764,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00050,7447772,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00051,7447771,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00052,7447794,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00053,7447807,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00054,7447808,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00055,7447816,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00056,7447817,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00057,7447834,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,5
cd00058,7447848,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00059,7447864,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00060,7447863,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00061,7447873,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00062,7447894,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00063,7447903,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00064,7447909,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00065,7447917,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00066,7447927,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00067,7447928,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00068,7447941,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00069,7447947,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00070,7447948,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00071,7447963,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00072,7447967,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00073,7447973,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,3
cd00074,7447980,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00075,7447979,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00076,7447989,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00077,7447998,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00078,7448028,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00079,7448029,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00080,7448034,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00081,7448044,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,3
cd00082,7448065,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00083,7448080,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00084,7448092,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00085,7448100,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00086,7448107,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00087,7448122,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00088,7448130,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00089,7448129,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00090,7448149,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00091,7448150,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00092,7448191,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00093,7448213,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00094,7448221,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00095,7448222,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00096,7448227,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00097,7448238,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00098,7448237,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00099,7448247,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00100,7448261,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00101,7448269,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00102,7448281,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00103,7448291,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00104,7448299,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00105,7448300,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00106,7448314,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00107,7448325,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00108,7448336,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00109,7448335,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00110,7448346,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00111,7448355,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00112,7448365,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00113,7448370,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00114,7448392,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00115,7448397,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00116,7448406,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00117,7448406,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer, , ,1
cd00118,7448429,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00119,7448438,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00120,7448457,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00121,7448458,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00122,7448465,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00123,7448479,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00124,7448485,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00125,7448492,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00126,7448493,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00127,7448499,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00128,7448498,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00129,7448510,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00130,7448517,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00131,7448527,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00132,7448535,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00133,7448544,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00134,7448550,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00135,7448551,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00136,7448563,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper, , ,1
cd00137,6979328,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper, , ,1
cd00138,6979333,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00139,6979334,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00140,6979335,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00141,6979339,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00142,6979338,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00143,6979345,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00144,6979347,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00145,6979349,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00146,6979350,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00147,6979356,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00148,6979359,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00149,6979360,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00150,6979364,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00151,6979365,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00152,6979369,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00153,6979372,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00154,6979375,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00155,6979377,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00156,6979380,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00157,6979385,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00158,6979388,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00159,6979390,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00160,6979391,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00161,6979393,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00162,6979404,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00163,6979406,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00164,6979407,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00165,6979408,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00166,6979409,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00167,6979412,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00168,6979415,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00169,6979418,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00170,6979417,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00171,6979419,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00172,6979421,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00173,6979420, , , , , ,Unknown, , ,1
cd00174,6979423,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00175,6979426,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,3
cd00176,6979431,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00177,6979433,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00178,6979435,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00179,6979437,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00180,6979441,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00181,6979440,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00182,6979443,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00183,6979444,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00184,6979445,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00185,6979448,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00186,6979449,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00187,6979450,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00188,6979451,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00189,6979454,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00190,6979455,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00191,6979457,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00192,6979458,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00193,6979462,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00194,6979463,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00195,6979468,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00196,6979472,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00197,6979475,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,3
cd00198,6979495,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00199,6979494,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00200,6979500,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00201,6979513,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00202,6979512,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00203,6979514,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00204,6979523,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00205,6979530,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00206,6979532,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00207,6979533,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00208,6979535,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00209,6979540,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00210,6979546,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00211,6979550,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00212,6979549,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00213,6979554,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00214,6979556,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00215,6979557,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00216,6979559,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00217,6979562,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00218,6979564,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00219,6979563,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00220,6979565,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00221,6979566,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00222,6979567,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00223,6979569,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00224,6979573,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00225,6979572,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00226,6979578,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00227,6979579,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00228,6979581,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00229,6979583,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00230,6979585,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00231,6979584,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00232,6979586,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00233,6979587,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00234,6979588,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00235,6979591,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00236,6979592,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00237,6979593,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00238,6979596,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00239,6979597,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00240,6979599,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00241,6979601,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00242,6979602,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00243,6979606,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00244,6979608,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00245,6979611,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00246,6979612,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00247,6979616,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00248,6979617,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00249,6979619,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00250,6979618,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00251,6979620,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00252,6979621,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00253,6979623,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00254,6979624,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00255,6979625,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00256,6979626,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00257,6979627,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00258,6979629,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00259,6979631,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00260,6979632,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00261,6979634,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00262,6979636,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00263,6979640,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00264,6979643,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00265,6979644,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00266,6979647,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00267,6979648,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00268,6979651,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00269,6979650,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00270,6979652,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00271,6979653,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00272,6979654,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00273,6979655,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00274,6979656,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00275,6979658,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00276,6979659,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00277,6979660,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00278,6979661,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00279,6979662,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00280,6979664,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00281,6979665,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00282,6979666,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00283,6979667,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00284,6979669,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00285,6979668,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00286,6979670,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00287,6979671,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00288,6979672,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00289,6979673,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00290,6979674,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00291,6979675,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00292,6979677,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00293,6979678,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00294,6979679,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00295,6979680,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00296,6979682,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00297,6979683,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00298,6979684,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00299,6979685,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00300,6979687,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00301,6979689,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00302,6979691,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00303,6979693,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00304,6979694,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,2
cd00305,6979695,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00306,6979696,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00307,6979698,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00308,6979699,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00309,6979701,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00310,6979702,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00311,6979711,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00312,6979715,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00313,6979719,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00314,6979718,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
